UserIdentifier,UserBrowser,D01,D02,D03,D04,D05,D06,D07
37d8d3c2c637ef2c4d35c1a155481d1e,Chrome 67.0.3396.87 (Mobile),K,1992.0,3.0,2.0,1.0,5.0,3.0
76a4858c98280eac4883c2eb0c0f5f30,Chrome 77.0.3865.90 (Desktop),M,1971.0,3.0,2.0,3.0,4.0,5.0
392891ed924d69f93bdc0d921f1bf2c3,Firefox 71.0 (Desktop),M,1985.0,4.0,2.0,5.0,9.0,3.0
807e5e6d748b85c2b6a167dfeb24aa53,Chrome 80.0.3987.87 (Desktop),K,1994.0,2.0,5.0,3.0,3.0,4.0
aeb123dedcf67463897eed314148653b,Chrome 79.0.3945.136 (Mobile),M,1971.0,3.0,2.0,3.0,6.0,3.0
ff9f866300358defcd9e21f903795525,Chrome 79.0.3945.130 (Desktop),M,2001.0,1.0,3.0,1.0,6.0,4.0
310f08a187241a954c0f346bfec98dbb,Opera 66.0.3515.72 (Desktop),M,2001.0,3.0,3.0,5.0,6.0,4.0
ff7e34757a2f5a556900da8f256caf6c,Chrome 78.0.3904.108 (Desktop),M,1994.0,4.0,2.0,2.0,8.0,4.0
c528c691202db43a43897d081200f699,Firefox 70.0 (Desktop),K,1971.0,3.0,2.0,3.0,5.0,2.0
fa4559170dafafed306e483abba6aada,Firefox 72.0 (Desktop),M,1991.0,4.0,6.0,5.0,4.0,4.0
26fe6c9a398ad77f9fbbb9e9286464ae,Chrome 79.0.3945.130 (Desktop),M,1999.0,3.0,2.0,3.0,8.0,4.0
bc62dc5fa1e40dfad3a2f8762be8afca,Chrome 71.0.3578.141 (Mobile),K,1999.0,3.0,3.0,1.0,6.0,3.0
d96f82aa104b2e16c26dd8cbeda1b530,Chrome 78.0.3904.108 (Desktop),M,1954.0,2.0,4.0,1.0,3.0,1.0
1721a2a98fb979667feb537fd17b8ced,Chrome 68.0.3440.106 (Desktop),K,1970.0,4.0,2.0,1.0,6.0,2.0
02fbfd88d70c379941a255ff5df5db3c,Chrome 80.0.3987.87 (Mobile),K,2001.0,1.0,3.0,1.0,7.0,4.0
6d838aae3d7abc8cd420a1f470e7d6c6,Chrome 77.0.3865.116 (Mobile),K,1981.0,3.0,2.0,1.0,8.0,3.0
f23ca3281e707ecbdfd8a262a2d17e1a,Chrome 78.0.3904.108 (Desktop),M,1947.0,3.0,4.0,4.0,5.0,2.0
49a68e175d6c4f286eb73a738faca7de,Chrome 78.0.3904.108 (Desktop),K,1996.0,3.0,2.0,2.0,6.0,3.0
84f837368c5836b482be40f1c0591fd6,Firefox 71.0 (Desktop),K,1983.0,4.0,2.0,4.0,6.0,4.0
1d11625a78dc7cd94b1f67190b7f9d95,Chrome 78.0.3904.108 (Mobile),K,1975.0,4.0,2.0,1.0,8.0,4.0
a94a72b35fac6235732a8b96d86c1fd0,Firefox 70.0 (Desktop),M,1971.0,2.0,2.0,1.0,3.0,2.0
f6dbb8ae88c94c435445f591c41ddeb3,Chrome 78.0.3904.108 (Mobile),K,1986.0,3.0,2.0,1.0,6.0,5.0
bbb07a36644abbbfb5f8346c86d2d32e,Chrome 71.0.3578.99 (Mobile),K,1995.0,3.0,7.0,1.0,6.0,3.0
a351d4f5c2c9290378b4d129dd492848,Firefox 72.0 (Desktop),M,1969.0,4.0,2.0,3.0,8.0,3.0
781552e61b359ddbfb81f1ae54a72658,Chrome 78.0.3904.108 (Mobile),K,1994.0,3.0,2.0,1.0,6.0,5.0
7470a0665aa9bdcb64bbbf15645e6edb,Chrome 77.0.3865.90 (Desktop),K,1999.0,3.0,3.0,2.0,7.0,6.0
ad1e43c5108c2c0efd1aad731a7bdda3,Chrome 79.0.3945.79 (Desktop),K,1958.0,4.0,2.0,3.0,8.0,2.0
0c8c21b1acbbe08879cf6fd9fc0f4904,Firefox 71.0 (Desktop),M,1967.0,3.0,2.0,1.0,5.0,5.0
91d12976919e506ddff30f8776247f63,Chrome 78.0.3904.108 (Mobile),M,2003.0,2.0,3.0,5.0,5.0,5.0
ad9d56872dd117acab0cfd5018756194,Chrome 78.0.3904.70 (Desktop),K,1980.0,4.0,2.0,3.0,6.0,4.0
f8def84fec6ac7456db91f5251570405,Chrome 78.0.3904.108 (Mobile),K,1978.0,3.0,7.0,1.0,6.0,5.0
02cf10f9afb8c7c6f5d5c5983788185a,Chrome 79.0.3945.130 (Desktop),M,1997.0,4.0,2.0,4.0,7.0,3.0
2c8813a49fb7323eddff33fc7a771792,Firefox 72.0 (Desktop),K,1977.0,3.0,7.0,4.0,8.0,2.0
4d8b3cb15a0f0856f417a8167a878b7b,Opera 65.0.3467.48 (Desktop),K,1978.0,3.0,2.0,1.0,7.0,2.0
103696af2243cda86891ed4faf2b007b,Chrome 78.0.3904.108 (Mobile),K,1989.0,4.0,5.0,3.0,8.0,3.0
6cfd79b5b0dced97d5403abff87f91c6,Chrome 78.0.3904.96 (Mobile),K,1958.0,2.0,4.0,5.0,5.0,2.0
27f692c276b4705699646f19a29a6633,Firefox 73.0 (Desktop),K,1959.0,3.0,4.0,5.0,2.0,1.0
f4300db66515c1e1e54b990f53e51c27,Chrome 79.0.3945.88 (Desktop),M,1947.0,4.0,4.0,4.0,5.0,2.0
88b07564e9ee4b8e3e52f66c1ac096c6,Chrome 77.0.3865.75 (Desktop),K,1991.0,3.0,5.0,1.0,4.0,5.0
04752a24acedd019eba3011d41085147,Chrome 77.0.3865.90 (Desktop),M,1981.0,3.0,2.0,5.0,7.0,4.0
25b76a9a69587b2ab7df4b2d9fc988e3,Chrome 78.0.3904.108 (Desktop),K,1967.0,3.0,2.0,3.0,8.0,2.0
cd927c3bfd088fa4cf06a9535fc5682c,Chrome 77.0.3865.116 (Desktop),K,1994.0,3.0,2.0,2.0,7.0,3.0
6e43a44c1c8ff7255aa83b992fb7e792,Edge 18.17763 (Desktop),M,1950.0,3.0,4.0,1.0,4.0,2.0
09c464394c8a7818025d5bdcd1006bbe,Safari 605.1.15 (Desktop),K,1989.0,4.0,2.0,5.0,4.0,5.0
bf41d55d5130bb16775796521a70703a,Chrome 78.0.3904.108 (Desktop),M,1947.0,4.0,2.0,5.0,6.0,1.0
1bd7ceb44ba5442fbcf53b9771662001,Chrome 78.0.3904.108 (Desktop),M,1977.0,3.0,2.0,5.0,8.0,3.0
6266f33abc2d96fc8a07a7b57c6f8a38,Chrome 79.0.3945.130 (Desktop),M,1967.0,4.0,2.0,2.0,7.0,2.0
519ffa0ac4fb8b6925a8668468e20c7b,Safari 602.1 (Tablet),K,1953.0,4.0,4.0,3.0,6.0,3.0
a84ba00fc16e8e74e24afc7bde0dd6f4,Chrome 77.0.3865.90 (Desktop),M,1956.0,3.0,4.0,1.0,3.0,4.0
0e7ac40e10023df2d63d467a5d275d41,Firefox 72.0 (Desktop),K,1991.0,4.0,5.0,1.0,6.0,5.0
bb3f63e9c3e3d39a851dd73d88cce806,Chrome 78.0.3904.108 (Desktop),K,1998.0,3.0,2.0,1.0,6.0,6.0
134b4fcd8e29baf10024fdb3ee0e4536,Chrome 78.0.3904.108 (Mobile),K,1987.0,3.0,2.0,3.0,7.0,2.0
611a6acef11a72c3c80542dddfa0fb56,Chrome 78.0.3904.108 (Desktop),K,1955.0,4.0,4.0,1.0,6.0,3.0
46cdcb22034fc0e008a2340af27d28aa,Chrome 80.0.3987.87 (Mobile),K,1984.0,3.0,7.0,1.0,5.0,3.0
9c4b5d5a062579edd0e095b607fc66e5,Edge 18.18362 (Desktop),K,1946.0,3.0,4.0,4.0,8.0,4.0
955e7d05acbf1052c95fef328f8115b4,Firefox 71.0 (Desktop),M,1983.0,3.0,2.0,1.0,6.0,4.0
f2196031aa16bf39930a03f8785fba9b,Chrome 78.0.3904.108 (Mobile),K,1972.0,3.0,2.0,3.0,1.0,5.0
3d19ddfddf14acfab10e2520e4f056b9,Firefox 69.0 (Desktop),M,1989.0,3.0,2.0,1.0,5.0,3.0
3e535410c82dfcc3fb5d143345b4ff2a,Chrome 79.0.3945.130 (Desktop),M,1988.0,3.0,2.0,5.0,4.0,2.0
df3537bf3b47443c2d4ffe4b24b6d4a0,Chrome 78.0.3904.108 (Desktop),K,1977.0,4.0,2.0,1.0,6.0,4.0
d16e621b59a7c0fc5a5de721482c41af,Firefox 68.0 (Mobile),M,1998.0,3.0,3.0,3.0,3.0,1.0
bfe6380f1c1cc0b1d4484ef9f9bce3d2,Firefox 71.0 (Desktop),K,1962.0,3.0,2.0,4.0,8.0,2.0
43a5baa1aabeae7932f8ce15d0197148,Firefox 70.0 (Desktop),M,1954.0,3.0,1.0,1.0,6.0,3.0
52c6b3495abb095e55f4a6da3245414e,Chrome 74.0.3729.169 (Desktop),M,1982.0,3.0,2.0,4.0,6.0,2.0
e22f698f0c90adfc07b3fe482b582406,Chrome 78.0.3904.108 (Mobile),K,1976.0,3.0,1.0,2.0,7.0,3.0
9de5f469adece261ddaff301ef4d2a77,Chrome 75.0.3770.89 (Mobile),K,1986.0,4.0,2.0,1.0,10.0,4.0
ed068480550fb5880347a31a4746065d,Firefox 71.0 (Desktop),K,1993.0,3.0,2.0,3.0,6.0,2.0
06fa21c7e2f97050ed92b6632471e71c,Chrome 71.0.3578.99 (Mobile),K,1986.0,4.0,2.0,3.0,5.0,5.0
e4d4f7a869b0049e9a8013b9ba0972b4,Chrome 78.0.3904.108 (Desktop),M,1958.0,4.0,2.0,4.0,7.0,2.0
2ac8ed570902b090ceb08a80cc41b3ec,Chrome 78.0.3904.108 (Mobile),K,1989.0,4.0,2.0,3.0,8.0,3.0
41b260bd1ea0ba8288d14fe4f3e47320,Chrome 80.0.3987.106 (Desktop),K,1984.0,4.0,2.0,5.0,8.0,4.0
982339d15b12e2e8c025fba7e0a6616d,Chrome 71.0.3578.99 (Mobile),K,1993.0,4.0,6.0,5.0,5.0,2.0
02f1cb4bfcf1840c5f23d6ec1dcb8aef,Chrome 80.0.3987.87 (Desktop),M,1962.0,2.0,2.0,3.0,6.0,3.0
133549259037024a1f766ffff158dad7,Chrome 80.0.3987.87 (Mobile),K,1987.0,4.0,7.0,1.0,8.0,2.0
561a18e4afc1cb2a0c989707c11bd5bb,Opera 65.0.3467.62 (Desktop),K,1989.0,4.0,5.0,1.0,6.0,3.0
e01c8d3d030d1f16bc4277891c3683fc,Chrome 78.0.3904.108 (Desktop),M,1993.0,4.0,2.0,1.0,7.0,3.0
2b82c93ba6743dc8c8fb009ca5cfb743,Firefox 72.0 (Desktop),M,1999.0,3.0,2.0,3.0,7.0,4.0
4e75a48562104702e27dfca0f0c2b1e0,Chrome 71.0.3578.141 (Mobile),K,1965.0,4.0,2.0,3.0,8.0,1.0
116d1946717d929dff568d6e7caca42f,Opera 63.0.3368.107 (Desktop),M,1945.0,5.0,4.0,5.0,6.0,2.0
4530ce27f9c047e2d735696fb23e93b1,Chrome 75.0.3770.101 (Mobile),M,1900.0,3.0,2.0,1.0,8.0,4.0
77103e80f6776fc70efbce501bceaced,Chrome 78.0.3904.108 (Tablet),K,1975.0,4.0,2.0,4.0,8.0,4.0
3b6bbb99dafc4f9eb0c14bed35e2c751,Firefox 72.0 (Desktop),M,1977.0,2.0,2.0,5.0,7.0,4.0
89f970118311aca77a98f4a18f163726,Chrome 78.0.3904.108 (Desktop),K,1973.0,4.0,2.0,3.0,8.0,1.0
317ffb10f19e409ab64d9d3a01a4e7c0,Chrome 78.0.3904.108 (Mobile),K,1990.0,4.0,2.0,5.0,6.0,2.0
eb60ab9c152100810a3009c93eed56f4,Chrome 79.0.3945.79 (Mobile),K,1987.0,4.0,2.0,4.0,8.0,2.0
d2fc3f855e30ef2df73477d1a37ef3d4,Opera 65.0.3467.62 (Desktop),K,1991.0,3.0,7.0,1.0,4.0,4.0
5947231e378584565e9feb0a6e346f05,Firefox 71.0 (Desktop),K,1972.0,4.0,2.0,4.0,8.0,3.0
313c01eab71c89a4302570108f95c8e9,Chrome 78.0.3904.108 (Mobile),K,1996.0,4.0,3.0,2.0,8.0,3.0
f83ad3a86279ea717841ab971b2b049c,Firefox 72.0 (Desktop),M,1956.0,3.0,2.0,5.0,7.0,2.0
08b0f992cd181ed62188ac8b8cebfde8,Chrome 80.0.3987.87 (Mobile),K,2004.0,1.0,3.0,1.0,6.0,3.0
33681af702a239f0b6fd0efee4c8ff31,Chrome 78.0.3904.108 (Desktop),K,1995.0,4.0,3.0,3.0,5.0,2.0
804004857206da645b70068ded17ae9b,Opera 64.0.3417.92 (Desktop),K,1969.0,4.0,2.0,1.0,5.0,3.0
2a94f8926fef795dfd8d134155c73cfa,Chrome 79.0.3945.79 (Desktop),K,1953.0,4.0,4.0,5.0,5.0,2.0
b4688a47db004c166ece45c17de7200c,Chrome 80.0.3987.99 (Mobile),M,1986.0,3.0,2.0,3.0,5.0,3.0
21634a867b904b74a9174e2fd5f9f8c3,Chrome 77.0.3865.120 (Desktop),K,1979.0,4.0,2.0,5.0,6.0,2.0
9c9cc9769fef197730dc47b3ca4be65d,Opera 46.0.2254.145391 (Mobile),K,1979.0,4.0,2.0,3.0,6.0,2.0
85ad37cf45958f71f9e102478b9ca1b6,Chrome 79.0.3945.136 (Mobile),M,2000.0,3.0,2.0,3.0,7.0,3.0
781ea77aad04138003522deff4457b45,Chrome 78.0.3904.108 (Desktop),M,1947.0,2.0,4.0,1.0,8.0,2.0
67a804fd7f1c4c089d77e70c33bd673c,Chrome 78.0.3904.108 (Mobile),K,1991.0,2.0,2.0,1.0,5.0,3.0
a114937cd1ef612737e1d6e32b167da3,Chrome 79.0.3945.79 (Mobile),K,1992.0,3.0,2.0,3.0,7.0,3.0
2918034fc0304aefa845ddb8d53a4cbd,Chrome 77.0.3865.120 (Desktop),M,1952.0,4.0,4.0,2.0,6.0,2.0
7bd4eb5d1c8df88c88948f8f0b3457a8,Chrome 80.0.3987.100 (Desktop),K,1987.0,4.0,2.0,4.0,10.0,2.0
62aff73c48e1778865ebcaf9bf734e30,Safari 604.1 (Mobile),K,1999.0,4.0,3.0,5.0,6.0,3.0
c5e100697092c652196c48c560e82fab,Firefox 71.0 (Desktop),K,1994.0,3.0,2.0,1.0,5.0,5.0
5122161c58ad9c7cafb668309dd31fd3,Chrome 79.0.3945.130 (Desktop),K,2001.0,1.0,3.0,5.0,10.0,4.0
b1fa6c857544e5ce3fc3f5339fb819ce,Chrome 79.0.3945.130 (Desktop),M,2000.0,1.0,3.0,3.0,4.0,4.0
dbdcc67a12c0039ce96b42d4c4397733,Chrome 78.0.3904.87 (Desktop),K,1985.0,3.0,2.0,1.0,3.0,4.0
1ae7e01205d5e6cd30bcf998021b3982,Chrome 78.0.3904.108 (Mobile),K,1983.0,4.0,2.0,5.0,2.0,4.0
c8fb9722a8a0f6ab5b1272c825db571f,Chrome 79.0.3945.130 (Desktop),M,1970.0,4.0,2.0,5.0,6.0,4.0
d543b424473311636c6c6dded48ff8d8,Chrome 79.0.3945.88 (Desktop),K,1962.0,2.0,2.0,2.0,5.0,2.0
fdc4f4732fd095dd2b640d0d19d8a955,Chrome 80.0.3987.117 (Mobile),K,1994.0,4.0,2.0,1.0,5.0,6.0
ddf38759adfde35f28b3b59add7ba9af,Chrome 78.0.3904.108 (Desktop),M,1965.0,3.0,2.0,4.0,2.0,3.0
3b7e9fdd1110193f4c0ea95ea5fe9849,Chrome 76.0.3809.132 (Mobile),K,1993.0,3.0,2.0,1.0,7.0,5.0
65b39c31b81b844404956fe563ab63d5,Chrome 77.0.3865.120 (Desktop),K,1987.0,4.0,5.0,3.0,2.0,5.0
4935086001427b30f323d07ddd1d5cb7,Chrome 63.0.3239.111 (Mobile),K,1981.0,3.0,5.0,4.0,7.0,4.0
c2b47e1326073f6c72a1ec73ded8e7a8,Chrome 71.0.3578.99 (Mobile),K,1981.0,4.0,2.0,1.0,7.0,4.0
49951d6f3774f7836eaea19d5f2509e1,Chrome 79.0.3945.93 (Mobile),K,1986.0,4.0,2.0,3.0,6.0,3.0
bc4b40bcee256618edf0077940dc5136,Chrome 80.0.3987.87 (Mobile),M,1997.0,3.0,3.0,1.0,7.0,5.0
216ca7ba8586da2102bc370e28ae0997,Chrome 79.0.3945.79 (Mobile),K,1994.0,2.0,2.0,3.0,6.0,2.0
3515dd3003d9feb13664e8e84d51d15f,Chrome 79.0.3945.79 (Mobile),M,1977.0,2.0,2.0,5.0,7.0,3.0
24287e2c824088c7b0510bab51d1b6c7,Edge 18.18362 (Desktop),K,1962.0,3.0,2.0,3.0,6.0,2.0
72a4e6c0dc681847b193005e1a38bc49,Chrome 78.0.3904.108 (Desktop),K,1985.0,4.0,1.0,5.0,7.0,2.0
0eb38c49a29f1ac0ff5310e7e9628650,Chrome 78.0.3904.108 (Mobile),K,1992.0,4.0,2.0,4.0,8.0,3.0
93279a229933af849601d18478da4a7f,Chrome 79.0.3945.130 (Desktop),K,1996.0,4.0,3.0,4.0,6.0,4.0
117d5cde2e14f80c0bb9e81be2c61842,Chrome 78.0.3904.96 (Mobile),M,1946.0,4.0,4.0,2.0,7.0,1.0
3f6a361fb7735503d49b60f6f6a4b44e,Chrome 79.0.3945.88 (Desktop),M,1983.0,3.0,2.0,1.0,1.0,4.0
85ad37cf45958f71f9e102478b9ca1b6,Chrome 79.0.3945.136 (Mobile),M,2000.0,3.0,2.0,3.0,7.0,3.0
d8928b3b3f3c3891f514788f782c1437,Chrome 78.0.3904.108 (Desktop),K,1954.0,4.0,4.0,5.0,5.0,2.0
aeea4fa5592f6014318f8cda177b54cf,Chrome 74.0.3729.136 (Mobile),M,1992.0,3.0,2.0,1.0,6.0,3.0
52e7795d6b52a06c73c95303dcbe2efd,Chrome 71.0.3578.99 (Mobile),M,1977.0,4.0,2.0,3.0,6.0,3.0
107c2cf31b7916884d1ea8aec1d4031d,Chrome 79.0.3945.93 (Mobile),K,1993.0,2.0,5.0,1.0,3.0,6.0
1567883329c828d0adc4e58007ca9463,Chrome 79.0.3945.130 (Desktop),K,1983.0,3.0,2.0,3.0,8.0,1.0
47b5f00685a852ff571f4ba28e65d6ea,Chrome 79.0.3945.117 (Desktop),M,1989.0,3.0,2.0,5.0,5.0,2.0
442265fba92adb77ddcf17518df5c357,Chrome 66.0.3359.181 (Desktop),M,1991.0,3.0,2.0,3.0,6.0,3.0
90e11641728e3bc6f02a53f2d4aeadf3,Firefox 52.0 (Desktop),M,1956.0,4.0,2.0,4.0,6.0,2.0
b4e367eee806b53cbdfbabba5bab85ec,Chrome 79.0.3945.130 (Desktop),M,1977.0,3.0,2.0,5.0,8.0,4.0
43cff150d4d0d15516bede6c5044bc6c,Chrome 79.0.3945.79 (Desktop),K,1984.0,4.0,5.0,3.0,5.0,3.0
2307af76f64ecab2dcb0e3c9c0abef58,Chrome 79.0.3945.79 (Mobile),K,1976.0,3.0,2.0,1.0,6.0,5.0
0bbb02c36e0cef8604cafddad282ad64,Chrome 77.0.3865.120 (Desktop),M,1984.0,4.0,2.0,3.0,6.0,4.0
969d968f3cc7ccfac30713f8e06d3d49,Chrome 79.0.3945.136 (Mobile),M,1998.0,2.0,2.0,5.0,6.0,2.0
b07530b13332bee99af0a002d0dd7edd,Chrome 78.0.3904.108 (Desktop),K,1974.0,3.0,6.0,2.0,7.0,4.0
925051a9b892df96d878b52183e97f97,Opera 66.0.3515.44 (Desktop),M,1959.0,3.0,2.0,4.0,6.0,3.0
908a617038df41254463d833f605f317,Firefox 71.0 (Desktop),M,1948.0,3.0,4.0,3.0,6.0,2.0
054396a2b3f94d830565216bb2d79c64,Edge 18.18362 (Desktop),K,1974.0,4.0,7.0,4.0,7.0,4.0
8ed1c4bf07fddbe1e89368a92d935d66,Chrome 79.0.3945.130 (Desktop),M,1989.0,4.0,6.0,2.0,4.0,3.0
0b509af0742e3a81b3318750a7bcc635,Firefox 72.0 (Desktop),K,1995.0,3.0,5.0,1.0,7.0,3.0
33243bc4907df9b22e235768518b66d1,Chrome 79.0.3945.136 (Mobile),K,1955.0,3.0,4.0,4.0,6.0,2.0
f8409f7c1945ea8d1ae5b81c99855962,Chrome 79.0.3945.79 (Mobile),K,1988.0,3.0,6.0,1.0,4.0,4.0
04faae14580b8db0962e85991a9114ba,Chrome 78.0.3904.108 (Desktop),K,1982.0,3.0,1.0,4.0,10.0,6.0
ba66b6a63d77da6991f8fd3be69ed2e2,Chrome 79.0.3945.117 (Desktop),K,2002.0,1.0,3.0,1.0,9.0,4.0
ed6114765bf2ca3cdce58e911eca8cc6,Chrome 68.0.3440.91 (Mobile),K,1995.0,4.0,3.0,1.0,5.0,5.0
0e260fd98b112894469646d5136b94da,Chrome 77.0.3865.90 (Desktop),K,1998.0,3.0,2.0,3.0,7.0,5.0
12c3dd7959e8c52db512b02ad4653bea,Chrome 79.0.3945.79 (Desktop),M,1952.0,4.0,4.0,3.0,2.0,2.0
da67c749e6105cb6cfb0e6d609687350,Chrome 72.0.3626.121 (Desktop),K,1955.0,3.0,4.0,3.0,7.0,2.0
41e6d69ef4d1aafe4fc0f20b13e67f03,Firefox 71.0 (Desktop),K,1993.0,4.0,2.0,5.0,6.0,2.0
d5c97263a81abf273a2d255dd2401d4e,Chrome 79.0.3945.130 (Desktop),K,1981.0,5.0,2.0,3.0,10.0,2.0
385e7c4a548e0cc7430265852959b37c,Chrome 80.0.3987.106 (Desktop),K,2001.0,3.0,3.0,3.0,6.0,3.0
58dee79c3a3119aa186864735fcd5486,Opera 65.0.3467.72 (Desktop),K,1992.0,4.0,2.0,4.0,7.0,2.0
